Wilaya,LAT,LON,Date,Temperature,Hemudite
Adrar,27.87,-0.29,2021-7-1,40.2,6.25
Adrar,27.87,-0.29,2021-7-2,39.22,6.88
Adrar,27.87,-0.29,2021-7-3,39.21,8.44
Adrar,27.87,-0.29,2021-7-4,39.14,7.06
Adrar,27.87,-0.29,2021-7-5,38.8,5.81
Adrar,27.87,-0.29,2021-7-6,40.58,5.19
Adrar,27.87,-0.29,2021-7-7,41.34,4.5
Adrar,27.87,-0.29,2021-7-8,40.07,7.31
Adrar,27.87,-0.29,2021-7-9,39.22,8.69
Adrar,27.87,-0.29,2021-7-10,38.51,8.31
Adrar,27.87,-0.29,2021-7-11,38.52,7.94
Adrar,27.87,-0.29,2021-7-12,40.08,9.12
Adrar,27.87,-0.29,2021-7-13,39.84,9.0
Adrar,27.87,-0.29,2021-7-14,39.37,7.56
Adrar,27.87,-0.29,2021-7-15,39.07,7.06
Adrar,27.87,-0.29,2021-7-16,39.02,6.94
Adrar,27.87,-0.29,2021-7-17,40.14,8.94
Adrar,27.87,-0.29,2021-7-18,40.5,8.5
Adrar,27.87,-0.29,2021-7-19,39.65,10.94
Adrar,27.87,-0.29,2021-7-20,38.21,11.38
Adrar,27.87,-0.29,2021-7-21,38.86,14.12
Adrar,27.87,-0.29,2021-7-22,39.05,12.75
Adrar,27.87,-0.29,2021-7-23,37.69,13.44
Adrar,27.87,-0.29,2021-7-24,37.83,13.62
Adrar,27.87,-0.29,2021-7-25,37.28,9.0
Adrar,27.87,-0.29,2021-7-26,37.52,9.44
Adrar,27.87,-0.29,2021-7-27,38.42,9.12
Adrar,27.87,-0.29,2021-7-28,39.41,9.5
Adrar,27.87,-0.29,2021-7-29,38.41,8.06
Adrar,27.87,-0.29,2021-7-30,37.44,7.0
Adrar,27.87,-0.29,2021-7-31,36.61,7.38

Chlef,36.16,1.33,2021-7-1,27.23,54.62
Chlef,36.16,1.33,2021-7-2,27.94,47.0
Chlef,36.16,1.33,2021-7-3,29.75,35.81
Chlef,36.16,1.33,2021-7-4,29.16,30.38
Chlef,36.16,1.33,2021-7-5,30.26,30.12
Chlef,36.16,1.33,2021-7-6,29.8,32.44
Chlef,36.16,1.33,2021-7-7,27.59,44.31
Chlef,36.16,1.33,2021-7-8,27.62,57.25
Chlef,36.16,1.33,2021-7-9,29.78,50.75
Chlef,36.16,1.33,2021-7-10,31.3,43.06
Chlef,36.16,1.33,2021-7-11,35.47,28.62
Chlef,36.16,1.33,2021-7-12,30.96,32.62
Chlef,36.16,1.33,2021-7-13,26.74,47.69
Chlef,36.16,1.33,2021-7-14,26.08,48.38
Chlef,36.16,1.33,2021-7-15,26.4,51.44
Chlef,36.16,1.33,2021-7-16,27.48,45.62
Chlef,36.16,1.33,2021-7-17,30.48,30.56
Chlef,36.16,1.33,2021-7-18,27.94,42.0
Chlef,36.16,1.33,2021-7-19,28.87,37.75
Chlef,36.16,1.33,2021-7-20,28.88,44.31
Chlef,36.16,1.33,2021-7-21,31.9,29.19
Chlef,36.16,1.33,2021-7-22,31.3,33.5
